Latitude,Longitude,Altitude (MSL),Satellites,Timestamp,Accel X,Accel Y,Accel Z,Altitude (AGL),Gyro X,Gyro Y,Gyro Z
0,0,0,0,0 : 0 : 1 : 960,0.28,-9.45,-6.81,0,0,0,0
0,0,0,0,0 : 0 : 1 : 980,0.96,-11.77,-10.95,0,0,0,0
0,0,0,0,0 : 0 : 2 : 0,-0.56,-13.98,-12.87,0,0,0,0
0,0,0,0,0 : 0 : 2 : 20,0.42,-15.13,-16.09,0,0,0,0
0,0,0,0,0 : 0 : 2 : 40,-1.47,-7.84,-14.68,0,0,0,0
0,0,0,0,0 : 0 : 2 : 60,-1.83,-5.79,-7.12,0,0,0,0
0,0,0,0,0 : 0 : 2 : 80,-1.18,-5.16,-2.31,0,0,0,0
0,0,0,0,0 : 0 : 2 : 100,-0.76,-1.3,-2.73,0,0,0,0
0,0,0,0,0 : 0 : 2 : 120,-0.69,-0.9,-4.39,0,0,0,0
0,0,0,0,0 : 0 : 2 : 140,-1.41,-0.65,-4.76,0,0,0,0
0,0,0,0,0 : 0 : 2 : 160,-0.19,0.04,-2.85,0,0,0,0
0,0,0,0,0 : 0 : 2 : 180,0.01,0.2,-3.34,0,0,0,0
0,0,0,0,0 : 0 : 2 : 200,-2.31,-4.17,-8.16,0,0,0,0
0,0,0,0,0 : 0 : 2 : 220,-3.15,-6.34,-11.72,0,0,0,0
0,0,0,0,0 : 0 : 2 : 240,-1.66,-8.47,-9.64,0,0,0,0
0,0,0,0,0 : 0 : 2 : 260,0.17,-9.43,-8.01,0,0,0,0
0,0,0,0,0 : 0 : 2 : 280,-0.28,-9.08,-9.43,0,0,0,0
0,0,0,0,0 : 0 : 2 : 300,-1.77,-7.76,-9.07,0,0,0,0
0,0,0,0,0 : 0 : 2 : 320,-0.28,-5.64,-3.81,0,0,0,0
0,0,0,0,0 : 0 : 2 : 340,-2.22,-5.69,-3.41,0,0,0,0
0,0,0,0,0 : 0 : 2 : 360,-0.02,-7.31,-2.46,0,0,0,0
0,0,0,0,0 : 0 : 2 : 380,0.06,-8.17,-3.66,0,0,0,0
0,0,0,0,0 : 0 : 2 : 400,0.17,-9.17,-5.33,0,0,0,0
0,0,0,0,0 : 0 : 2 : 420,0.88,-11.13,-7.79,0,0,0,0
0,0,0,0,0 : 0 : 2 : 440,4.46,-12.58,-10.21,0,0,0,0
0,0,0,0,0 : 0 : 2 : 460,4.24,-11.79,-13.42,0,0,0,0
0,0,0,0,0 : 0 : 2 : 480,1.82,-12.21,-15.97,0,0,0,0
0,0,0,0,0 : 0 : 2 : 500,3.71,-8.77,-13.13,0,0,0,0
0,0,0,0,0 : 0 : 2 : 520,2.21,-5.66,-9.48,0,0,0,0
0,0,0,0,0 : 0 : 2 : 540,0.4,-3.58,-5.05,0,0,0,0
0,0,0,0,0 : 0 : 2 : 560,-0.09,-3.65,-3.05,0,0,0,0
0,0,0,0,0 : 0 : 2 : 580,0.55,-2.43,-4.33,0,0,0,0
0,0,0,0,0 : 0 : 2 : 600,1.34,-1.74,-4.57,0,0,0,0
0,0,0,0,0 : 0 : 2 : 620,3.04,-1.98,-3.35,0,0,0,0
0,0,0,0,0 : 0 : 2 : 640,3.04,-1.62,-1.67,0,0,0,0
0,0,0,0,0 : 0 : 2 : 660,2.2,-4.45,-4.55,0,0,0,0
0,0,0,0,0 : 0 : 2 : 680,2.75,-5,-4.08,0,0,0,0
0,0,0,0,0 : 0 : 2 : 700,2.27,-4.67,-3.35,0,0,0,0
0,0,0,0,0 : 0 : 2 : 720,1.97,-4.92,-6.86,0,0,0,0
0,0,0,0,0 : 0 : 2 : 740,2.96,-5.12,-8.28,0,0,0,0
0,0,0,0,0 : 0 : 2 : 760,2.95,-5.99,-7.72,0,0,0,0
0,0,0,0,0 : 0 : 2 : 780,4.01,-6.27,-6.54,0,0,0,0
0,0,0,0,0 : 0 : 2 : 800,2.89,-6.6,-6.94,0,0,0,0
0,0,0,0,0 : 0 : 2 : 820,0.55,-6.95,-13.68,0,0,0,0
0,0,0,0,0 : 0 : 2 : 840,0.37,-7.52,-12.69,0,0,0,0
0,0,0,0,0 : 0 : 2 : 860,-4.38,-8.79,-15.71,0,0,0,0
0,0,0,0,0 : 0 : 2 : 880,-1.56,-7.42,-13.34,0,0,0,0
0,0,0,0,0 : 0 : 2 : 900,1.22,-8.13,-13.19,0,0,0,0
0,0,0,0,0 : 0 : 2 : 920,-3.85,-9.35,-18.4,0,0,0,0
0,0,0,0,0 : 0 : 2 : 940,-4.19,-9.38,-14.97,0,0,0,0
0,0,0,0,0 : 0 : 2 : 960,-3.33,-9.14,-12.71,0,0,0,0
0,0,0,0,0 : 0 : 2 : 980,-2.57,-3.74,-8.1,0,0,0,0
0,0,0,0,0 : 0 : 3 : 0,-5.16,-5.55,-5.12,0,0,0,0
0,0,0,0,0 : 0 : 3 : 20,-0.93,-5.15,0.84,0,0,0,0
0,0,0,0,0 : 0 : 3 : 40,3.83,-3.82,-0.17,0,0,0,0
0,0,0,0,0 : 0 : 3 : 60,-3.97,-4.85,-6.33,0,0,0,0
0,0,0,0,0 : 0 : 3 : 80,-7.85,-8.89,-2.83,0,0,0,0
0,0,0,0,0 : 0 : 3 : 100,-3.32,-7.27,1.16,0,0,0,0
0,0,0,0,0 : 0 : 3 : 120,-0.03,-7.91,-0.29,0,0,0,0
0,0,0,0,0 : 0 : 3 : 140,-1.84,-9.71,-11.4,0,0,0,0
0,0,0,0,0 : 0 : 3 : 160,0.08,-9.12,-11.76,0,0,0,0
0,0,0,0,0 : 0 : 3 : 180,4.08,-6.45,-9.2,0,0,0,0
0,0,0,0,0 : 0 : 3 : 200,0.75,-8.1,-14.1,0,0,0,0
0,0,0,0,0 : 0 : 3 : 220,0.05,-8.28,-18.48,0,0,0,0
0,0,0,0,0 : 0 : 3 : 240,1.36,-7.65,-14.29,0,0,0,0
0,0,0,0,0 : 0 : 3 : 260,-4.92,-8.92,-14.03,0,0,0,0
0,0,0,0,0 : 0 : 3 : 280,-5,-8.2,-12.3,0,0,0,0
0,0,0,0,0 : 0 : 3 : 300,-9.22,-6,-10.16,0,0,0,0
0,0,0,0,0 : 0 : 3 : 320,-3.71,-2.82,-6.94,0,0,0,0
0,0,0,0,0 : 0 : 3 : 340,-1.53,-4.54,-8.51,0,0,0,0
0,0,0,0,0 : 0 : 3 : 360,-0.07,-4.47,-7.98,0,0,0,0
0,0,0,0,0 : 0 : 3 : 380,-2.27,-4.86,-6.42,0,0,0,0
0,0,0,0,0 : 0 : 3 : 400,-4.19,-4.16,-8.91,0,0,0,0
0,0,0,0,0 : 0 : 3 : 420,-3.24,-5.44,-6.22,0,0,0,0
0,0,0,0,0 : 0 : 3 : 440,-0.44,-7.65,-5.15,0,0,0,0
0,0,0,0,0 : 0 : 3 : 460,-5.29,-8.12,-6.78,0,0,0,0
0,0,0,0,0 : 0 : 3 : 480,-4.66,-10.98,-9.34,0,0,0,0
0,0,0,0,0 : 0 : 3 : 500,-2.15,-11.69,-10.42,0,0,0,0
0,0,0,0,0 : 0 : 3 : 520,-3.6,-11.29,-9.02,0,0,0,0
0,0,0,0,0 : 0 : 3 : 540,-7.62,-4.82,-9.34,0,0,0,0
0,0,0,0,0 : 0 : 3 : 560,-2.15,-6.6,-9.78,0,0,0,0
0,0,0,0,0 : 0 : 3 : 580,-0.19,-5.81,-5.93,0,0,0,0
0,0,0,0,0 : 0 : 3 : 600,-3.13,-4.59,-5.84,0,0,0,0
0,0,0,0,0 : 0 : 3 : 620,-1.01,-3.7,-3.96,0,0,0,0
0,0,0,0,0 : 0 : 3 : 640,1.46,-2.74,-3.24,0,0,0,0
0,0,0,0,0 : 0 : 3 : 660,1.54,-1.9,-6.12,0,0,0,0
0,0,0,0,0 : 0 : 3 : 680,0.06,-1.41,-5.4,0,0,0,0
0,0,0,0,0 : 0 : 3 : 700,-3.08,-0.84,-5.99,0,0,0,0
0,0,0,0,0 : 0 : 3 : 720,-4.74,-0.01,-8.97,0,0,0,0
0,0,0,0,0 : 0 : 3 : 740,-1.64,1.03,-8.54,0,0,0,0
0,0,0,0,0 : 0 : 3 : 760,-0.95,-1.48,-8.35,0,0,0,0
0,0,0,0,0 : 0 : 3 : 780,-0.63,-1.92,-8.51,0,0,0,0
0,0,0,0,0 : 0 : 3 : 800,-1.13,0.14,-6.12,0,0,0,0
0,0,0,0,0 : 0 : 3 : 820,-2.5,0.09,-5.79,0,0,0,0
0,0,0,0,0 : 0 : 3 : 840,-3.5,-0.85,-8.93,0,0,0,0
0,0,0,0,0 : 0 : 3 : 860,-5.2,-1.97,-9.1,0,0,0,0
0,0,0,0,0 : 0 : 3 : 880,-1.77,-3.37,-3.3,0,0,0,0
0,0,0,0,0 : 0 : 3 : 900,-1.71,-6.6,-6.48,0,0,0,0
0,0,0,0,0 : 0 : 3 : 920,-6.7,-7.56,-9.93,0,0,0,0
0,0,0,0,0 : 0 : 3 : 940,-7.09,-14.26,-15.06,0,0,0,0
0,0,0,0,0 : 0 : 3 : 960,-2.44,-16.59,-7.98,0,0,0,0
0,0,0,0,0 : 0 : 3 : 980,-0.7,-7.47,-6.79,0,0,0,0
0,0,0,0,0 : 0 : 4 : 0,-0.54,-10.72,-6.07,0,0,0,0
0,0,0,0,0 : 0 : 4 : 20,-1.62,-9.85,-7.34,0,0,0,0
0,0,0,0,0 : 0 : 4 : 40,-1,-6.26,-9.43,0,0,0,0
0,0,0,0,0 : 0 : 4 : 60,-7.09,1.18,-9.96,0,0,0,0
0,0,0,0,0 : 0 : 4 : 80,-5.18,0.8,-9.22,0,0,0,0
0,0,0,0,0 : 0 : 4 : 100,-3.57,-3.4,-9.76,0,0,0,0
0,0,0,0,0 : 0 : 4 : 120,-3.25,-3.4,-10.49,0,0,0,0
0,0,0,0,0 : 0 : 4 : 140,-2.89,-4.47,-8.05,0,0,0,0
0,0,0,0,0 : 0 : 4 : 160,-2.61,-3.37,-6.97,0,0,0,0
0,0,0,0,0 : 0 : 4 : 180,-1.22,-3.77,-6.42,0,0,0,0
0,0,0,0,0 : 0 : 4 : 200,-0.74,-2.29,-5.64,0,0,0,0
0,0,0,0,0 : 0 : 4 : 220,-1.4,-5.36,-5.91,0,0,0,0
